N,bits_N,repeat,timeout_s,status,p_found,q_found,iterations,restarts,seed,x0,c,duration_ns,duration_us,duration_ms,duration_s,started_utc,finished_utc,source_file
143,8,1,60,FOUND,13,11,2,0,13678248995248979029,10,84,1300,1.3,0.0013,1.3e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,2,60,FOUND,13,11,1,0,2081310217727549517,70,84,700,0.7,0.0007,7e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,3,60,FOUND,11,13,4,1,9363223137383663105,95,74,2700,2.7,0.0027,2.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,1,60,FOUND,13,13,7,1,1772048501722564850,94,86,3700,3.7,0.0037,3.7e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,2,60,FOUND,13,13,1,0,5719882657021788182,83,61,600,0.6,0.0006,6e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,3,60,FOUND,13,13,4,0,4655880975352386465,74,87,2000,2.0,0.002,2e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,1,60,FOUND,13,11,2,0,13678248995248979029,10,84,1100,1.1,0.0011,1.1e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,2,60,FOUND,13,11,1,0,2081310217727549517,70,84,800,0.8,0.0008,8e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,3,60,FOUND,11,13,4,1,9363223137383663105,95,74,2600,2.6,0.0026,2.6e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,1,60,FOUND,13,13,7,1,1772048501722564850,94,86,3600,3.6,0.0036,3.6e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,2,60,FOUND,13,13,1,0,5719882657021788182,83,61,700,0.7,0.0007,7e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
169,8,3,60,FOUND,13,13,4,0,4655880975352386465,74,87,2100,2.1,0.0021,2.1e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,1,60,FOUND,13,11,2,0,13678248995248979029,10,84,1000,1.0,0.001,1e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,2,60,FOUND,13,11,1,0,2081310217727549517,70,84,600,0.6,0.0006,6e-07,2026-02-17 12:05:54,2026-02-17 12:05:54,
143,8,3,60,FOUND,11,13,4,1,9363223137383663105,95,74,2400,2.4,0.0024,2.4e-06,2026-02-17 12:05:54,2026-02-17 12:05:54,
